class,title,description,link
0,紙パルプ技術協会,"第86回紙パルプ研究発表会発表参加者募集をアップしました。終了. 2019/02/01 ... 第
62回―2019年紙パルプ技術協会 仙台年次大会出展・講演募集をアップしました。new
! 2018/12/03 ... 第42回紙パルプ計装技術発表会と計装ショーをアップしました。終了.",https://www.japantappi.org/
0,パルプボードボックス 通販 | 無印良品,"パルプボードボックスの通販なら無印良品 公式ネットストア。タテにしてもヨコにしても
使える、軽くて丈夫な収納ボックス。ヨコ5つまで積み重ねることができるので、壁面収納
としても活躍します。A4サイズからスリムサイズまで、かたちや大きさを自由に選べます
。",https://www.muji.net/store/cmdty/section/S00809
1,紙ができるまで 原料・パルプ | 株式会社TTトレーディング,"パルプとは、木材や草などから抽出した繊維のことで、主成分はセルロースです。 この
セルロースは水素結合により結びつく性質があり、紙はこの特性を利用してつくります。 
！水素結合は水が入るとすぐ切れるため、防水加工していない紙は水に濡れると弱く ...",http://www.tokushu-papertrade.jp/digimon/basic/bas-02.html
0,硬質パルプ収納用品 通販 | 無印良品,"硬質パルプ収納用品の通販なら無印良品 公式ネットストア。積層に貼り合せた紙や、
軽くて耐久性のある業務用通函箱の素材を使ったボックス・引き出しが揃っています。
モジュールが統一されているので、シェルフなどと組み合わせてお使いください。",https://www.muji.net/store/cmdty/section/S00802
0,製紙産業の現状 | パルプ材 - 日本製紙連合会,"パルプの原料となる木材の2018年の集荷量は、国産材が前年比3.9％減の456万トン
、輸入材が同1.8％増の1,174万トン、合計で同0.1％増の1,630万トンとなった。輸入材
の割合は70％前後で推移している。 ※パルプ材は国産材・輸入材ともに利用される ...",https://www.jpa.gr.jp/states/pulpwood/index.html
0,エネルギー - Wikipedia,"概説[編集]. 現在用いられているようなエネルギーという概念が確立したのは19世紀
後半のことであるが、概念の確固たる成立はともかくとして、「エネルギー」という用語は
、19世紀のはじめ、トマス・ヤングが1807年に著書『自然哲学講義』(英: A Course of ...",https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%8D%E3%83%AB%E3%82%AE%E3%83%BC
0,エネルギーとは - コトバンク,"ブリタニカ国際大百科事典 小項目事典 - エネルギーの用語解説 - 物理系が他に対して
仕事をする能力をもつとき，これを系のエネルギーという。保存力場内の物体は位置
エネルギーをもつ。運動する物体がもつ運動エネルギーはさらに回転エネルギー，振動
 ...",https://kotobank.jp/word/%E3%82%A8%E3%83%8D%E3%83%AB%E3%82%AE%E3%83%BC-37073
0,エネルギー(えねるぎー)とは何？ Weblio辞書,"「エネルギー」の意味は力のこと。Weblio辞書では「エネルギー」の意味や使い方、用例
、類似表現などを解説しています。",https://www.weblio.jp/content/%E3%82%A8%E3%83%8D%E3%83%AB%E3%82%AE%E3%83%BC
0,エネルギーとは (エネルギーとは) [単語記事] - ニコニコ大百科,"エネルギー（独：Energie）とは、ある系が行うことができる仕事量を示す物理量である。
英語だと ... これをエネルギー保存の法則とか熱力学第一法則という。受験とかで使う
力学的エネルギー保存の法則は、特殊な状況でしか成り立たないが気にしては
いけない。",https://dic.nicovideo.jp/a/%E3%82%A8%E3%83%8D%E3%83%AB%E3%82%AE%E3%83%BC
1,JXTGエネルギー東京2020パラリンピック応援クリック募金｜CSR活動 ...,ＪＸＴＧエネルギーのウェブサイト。東京2020パラリンピックを応援するクリック募金です。,https://www.noe.jxtg-group.co.jp/company/csr/click_sports/
1,エネルギー | 栄養成分百科 | グリコ,"江崎グリコの栄養成分百科。栄養成分のエネルギーについての考え方を江崎グリコが
ご紹介します。",https://www.glico.co.jp/navi/dic/dic_01.html
1,エネルギー｜事業概要｜関西電力,"原子力発電のしくみや、関西電力の原子力発電所における安全確保に向けた取組みに
加えて、原子力発電所の運転状況や周辺地域のモニタリング情報などを掲載しており
ます。",https://www.kepco.co.jp/energy_supply/energy/index.html
1,図解でみるエネルギーのしくみ | みるみるわかるEnergy | SBエナジー,"太陽光発電や風力発電など、さまざまな発電のしくみをイラストでわかりやすく解説し
ます。",https://www.sbenergy.jp/study/illust/
0,2019—日本が抱えているエネルギー問題（前編）｜スペシャルコンテンツ ...,"2019年8月13日 ... 電気、ガス、ガソリンなどのエネルギーは、いまや生活に欠かせないものとして社会を
支えています。けれども石油やLNG（液化天然ガス）などのエネルギー資源がとぼしい
日本では、エネルギーを安定的に供給するためにさまざまな方策が ...",https://www.enecho.meti.go.jp/about/special/johoteikyo/energyissue2019.html
0,再生可能エネルギー電子申請,"再生可能エネルギー発電事業計画の認定情報公表のお知らせ ... 今回、公表する認定
情報は、5月31日時点にて新規認定を受けている、または新制度への移行手続が完了
した再生可能エネルギー発電設備に係る情報であり（ただし今回は紙媒体での新規 ...",https://www.fit-portal.go.jp/
0,木材 - Wikipedia,"木材（もくざい）とは、様々な材料・原料として用いるために伐採された樹木の幹の部分を
指す呼称。 その用途は、切削など物理的加工（木工）された木製品に限らず、紙の原料(
木材パルプ)また薪や木炭に留まらない化学反応を伴うガス化・液化を経た ...",https://ja.wikipedia.org/wiki/%E6%9C%A8%E6%9D%90
1,木材の一覧ホームセンター通販のカインズ,"木材の一覧オリジナル商品を開発中！ホームセンターカインズの公式通販・オンライン
ショップです。5000円以上のお買い上げで送料無料。アイデア商品満載の豊富な品
揃え。",http://www.cainz.com/shop/c/c6016/
1,木材商品一覧 | 木材通販、加工販売の専門店 WoodCenter（ウッド ...,"木材販売のウッドセンター 。木材加工も承ります。全国配送  対応。構造材や下地材
から、建材、塗料、インテリア用の木材を販売。 木材のカット加工もOK。",https://www.03-woodcenter.com/products/
0,【楽天市場】木材の通販,"楽天市場-「木材」2180482件 人気の商品を価格比較・ランキング･レビュー・口コミで
検討できます。ご購入でポイント取得がお得。セール商品・送料無料商品も多数。「あす
楽」なら翌日お届けも可能です。",https://search.rakuten.co.jp/search/mall/%E6%9C%A8%E6%9D%90/
1,木材特集｜コメリドットコム,"木材特集では、ホームセンター「コメリ」の通販サイトの取扱商品の中から、合板・構造材
・DIY木材に関するおすすめの商品を豊富に取り揃えています。お困りごとを解決する
ための簡単DIYからプロも使用できるものまで、素材・サイズからお選びいただけます。",https://www.komeri.com/contents/event/15_mokuzai/
0,木材(もくざい)とは - コトバンク,"ブリタニカ国際大百科事典 小項目事典 - 木材の用語解説 - 樹木の生長に従って形成
される木部。本質的には低木や木本つる類の木部も含まれるが，利用面から木材の
概念に入らず，特殊な目的以外には高木の幹の木部だけが対象となる。針葉樹と
広葉樹が ...",https://kotobank.jp/word/%E6%9C%A8%E6%9D%90-142205
0,木材(建築・住宅資材) | Amazon | アマゾン,"板材, 角材, 化粧合板, 羽目板・幅木, 丸棒材, 集成材 の優れたセレクションからの DIY・
工具・ガーデン のオンラインショッピングなどを毎日低価格でお届けしています。",https://www.amazon.co.jp/%E6%9C%A8%E6%9D%90/b?ie=UTF8&node=2033480051
1,米田木材株式会社 | 富山県のハウスメーカー・リフォーム・注文住宅,"富山県の注文住宅・ハウスメーカー・米田木材は自然の光や風につつまれ、いつまでも
心地よく、木材の経年変化の味わい深さを楽めるようなそんな住まいをつくりつづけます
。",https://www.yonemoku.co.jp/
1,木材・建材・金物 | ホームセンターコーナンの通販サイト,"木材・建材・金物木材・建材からDIYやガーデニング、ペット用品、オフィス文具までの
充実の品揃え！",https://www.kohnan-eshop.com/shop/c/c19/
0,一般財団法人 日本木材総合情報センター,"木材・住宅関係業界の方に最近の木材関係トピックス、原木需給、国内・海外の木材
需給、価格情報、木材利用に関する情報を発信。",https://www.jawic.or.jp/
0,非金属元素 - Wikipedia,"非金属元素（ひきんぞくげんそ、英: nonmetal）とは、金属元素以外の元素のこと。 元素
のうち特定の性質（単体が光沢、導電性、延性・展性に富む、いわゆる金属結晶をつくる
）を持つ主に遷移金属と、遷移金属とは性質を異にする金属（ポスト遷移金属、卑金属、
 ...",https://ja.wikipedia.org/wiki/%E9%9D%9E%E9%87%91%E5%B1%9E%E5%85%83%E7%B4%A0
0,非金属(ひきんぞく)とは - コトバンク,"ブリタニカ国際大百科事典 小項目事典 - 非金属の用語解説 - 物質を金属と非金属に大
別するとき，金属に対する語。金属は金属元素および合金を含むが，非金属は非金属
元素および合金以外のすべての化合物を含む。非金属は金属のどのような特性をも
示さ ...",https://kotobank.jp/word/%E9%9D%9E%E9%87%91%E5%B1%9E-119355
0,非鉄金属 - Wikipedia,"日本に限らず世界的に見ても鉄以外の金属の生産総量が鉄鋼の生産量に比べ圧倒的
に少ないために、便宜的に「非鉄金属」という名称を与えて1つのグループにまとめた
ものであるが、語感からすると「鋼」も除外されているような意味を持ち、鉄鋼の中では鉄
と ...",https://ja.wikipedia.org/wiki/%E9%9D%9E%E9%89%84%E9%87%91%E5%B1%9E
1,バイアスロン セルフィット 非金属タイヤチェーン バイアスロン ｜ カーメイト ...,"非金属タイヤチェーン国内売上No,1！販売累計300万ペア（2018年現在）。選ばれるの
には理由がある。車両移動不要・ジャッキアップ不要のカンタン装着。交差点のアイス
バーンや、雪道のカーブ。あらゆる路面状況に対応した高性能非金属タイヤチェーン。",http://www.carmate.jp/biathlon/
0,非金属（ひきんぞく）の意味 - goo国語辞書,"ひきんぞく【非金属】とは。意味や解説、類語。金属としての性質をもたない単体。水・
空気・ガラス・プラスチック・塩など。ひきんぞくげんそ【非金属元素】単体が非金属である
元素。周期表で硼素(ほうそ)とアスタチンを結ぶ斜めの線の右側にある希ガス・ハロゲン
・ ...",https://dictionary.goo.ne.jp/jn/183983/meaning/m0u/
1,加藤非金属鉱業株式会社｜岡山本社・田井鉱山・長柱鉱山・広潟植物工場,"弊社は、創業以来、鉱業を中心として耐火物原料の採掘・販売をはじめとする様々な
業務を取り扱ってまいりましたが、新事業として農産物の生産・加工・販売を行う植物
工場の運営を開始いたしました。（2011年度より広潟植物工場が稼動中） 昨今の国際
的 ...",http://www.katomin.net/
1,材料から探す：非金属 | 目的・課題で探す | DMG MORI,"工作技術や製品、ソリューション、周辺機器について、お客様の目的や課題に応じて
コンテンツをお探しいただけます。",https://www.dmgmori.co.jp/theme/list/?search_ext_col_51[]=005&topics_ext_options_search=1
1,加藤非金属鉱業株式会社｜会社案内,"商号. 加藤非金属鉱業株式会社. 本社. 〒706-0011 岡山県玉野市宇野1丁目6番26号
. TEL 0863-31-4131 FAX 0863-31-4132. Eメール info@katomin.net. 事業所. ＜ 
田井鉱山 ＞ 岡山県玉野市田井4丁目4462-1. TEL・FAX 0863-31-7463. Eメール ...",http://www.katomin.net/profile.html
0,金属と非金属,"金属はピカピカしているイメージですね。光をよく反射するので、鏡の表面などで利用
されています。 アルミニウムはくや銅線などは、アルミニウムや銅を広げたりのばしたり
してつくります。 銅線は電流をよく通すので、電気の配線には欠かせません。",http://www.max.hi-ho.ne.jp/lylle/bussitu2.html
1,非金属用 【通販モノタロウ】切断砥石:切削工具・研磨材,"【特長】エンジンカッター用に、特別に開発した高速対応切断砥石です。災害非常時の
特殊切断に威力を発揮します。安全性を重視した設計で、国の「特別認定許可」を得
ています。【用途】非金属用。石材、コンクリート、鋳鉄管等の切断【結合剤】B【結合度】T
【最高 ...",https://www.monotaro.com/s/c-121927/
0,一般社団法人日本自動車販売協会連合会 | 自販連のホームページ,"自販連創立60周年記念動画はこちらです。 □月刊「自動車販売」への投稿を募集中！
！ 詳細はこちら. □自動車整備士ドキュメンタリー動画の公開について. 自動車整備
人材確保・育成推進協議会の取り組みとして、整備士ドキュメンタリー動画の作成を行い
 ...",http://www.jada.or.jp/
0,自動車販売台数速報 日本 2019年 - 自動車産業ポータル マークラインズ,"日本の7月の新車販売、前年同月比4.1%増の45.9万台。日本自動車販売協会連合会(
自販連)と全国軽自動車協会連合会(全軽自協)が発表した2019年7月の新車販売台数
は、前年同月比4.1%増の45万9456台となった。内訳は登録車が6.7%増の30 ...",https://www.marklines.com/ja/statistics/flash_sales/salesfig_japan_2019
0,統計データ | 一般社団法人日本自動車販売協会連合会,"従来のメーカー別統計は「生産」という概念によって統計分類がなされていましたが、 
自動車生産拠点のグローバル化あるいは ... 稼働日4日目に公表している車名別統計に
加え、軽自動車、 および主な海外ブランドを含む自動車の総販売台数をブランド別統計
 ...",http://www.jada.or.jp/data/
0,日本自動車販売協会連合会 - Wikipedia,"一般社団法人 日本自動車販売協会連合会（にほんじどうしゃはんばいきょうかいれんご
うかい、英文名称：Japan Automobile Dealers Association、自販連）は、自動車販売
店によって構成された業界団体。全国に52の支部がある。毎月、自動車販売台数を ...",https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E8%87%AA%E5%8B%95%E8%BB%8A%E8%B2%A9%E5%A3%B2%E5%8D%94%E4%BC%9A%E9%80%A3%E5%90%88%E4%BC%9A
0,乗用車ブランド通称名別順位 | 統計データ | 一般社団法人日本自動車 ...,"一般社団法人日本自動車販売協会連合会. HOME · 自販連とは · 定款 · 自販連倫理網
領 ... ブランド通称名別順位 2019年. ※ 軽自動車および海外ブランドを除く※ ブランド
通称名とは、国産メーカーの同一車名を合算したものであり、海外生産車を含みます。",http://www.jada.or.jp/data/month/m-brand-ranking/
0,一般社団法人 長野県自動車販売店協会,"一般社団法人 長野県自動車販売店協会のサイトです。長野県内の自動車販売
ディーラーの力を結集し、自動車に関する様々な社会活動を行っています。",http://www.nada.or.jp/
0,株式会社ECOM自動車販売のショールーム｜中古車なら【グーネット】,"株式会社ＥＣＯＭ自動車販売のショールーム情報。中古車・中古車情報のことなら【
クルマ、まるごと。グーネット（Goo-net）】中古自動車登録台数が豊富だから、あなたに
ピッタリな1台が見つかるはず。中古車購入、中古車販売の情報も満載！「あんしん、
まる ...",https://www.goo-net.com/usedcar_shop/0206526/showroom.html
1,埼玉県自動車販売店協会,"埼玉県自動車販売店協会／一般社団法人 日本自動車販売協会連合会 埼玉県支部の
ホームです.",http://saijihan.co.jp/
1,東日本三菱自動車販売株式会社 東京・神奈川・埼玉・茨城・山梨・長野 ...,"1都8県をカバーする広域三菱ディーラー・東日本三菱自動車販売株式会社です。デリカ
D5クリーンディーゼル（DELICA D:5）、アウトランダーＰＨＥＶ（OUTLANDER PHEV）、
eKワゴン・eKクロス、電気自動車ミーブ（MiEV）シリーズの車種紹介ページやお店の ...",https://www.east-mitsubishi-motor-sales.com/tenpo/
0,石川県自動車販売店協会,"一般社団法人 日本自動車販売協会連合会 石川県支部のホームページです。事業概要
、自動車販売統計データを掲載。",http://www.jada.jp/
0,本・書籍 | Amazon - アマゾン,"本・書籍の通販ならアマゾン。 新刊から古本まで豊富な品ぞろえ。Amazonポイント還元
本も多数。代引きやコンビニ受け取りも可能。Amazon.co.jpが発送する本は、配送料
無料でお届け。本を買うならAmazon.co.jp。",https://www.amazon.co.jp/%E6%9C%AC-%E6%9B%B8%E7%B1%8D-%E9%80%9A%E8%B2%A9/b?ie=UTF8&node=465392
0,ヨドバシ.com - 書籍 通販【全品無料配達】,"書籍の通販ならヨドバシカメラの公式サイト「ヨドバシ.com」で！情報･通信･コンピュータ
や雑誌など人気の商品を多数取り揃えています。ご購入でゴールドポイント取得！今
なら日本全国へ全品配達料金無料、即日・翌日お届け実施中。",https://www.yodobashi.com/category/81001/
0,書籍(ショジャク)とは - コトバンク,"デジタル大辞泉 - 書籍の用語解説 - 「しょせき（書籍）」に同じ。「毫も―の価値を解して
居らん」〈漱石・吾輩は猫である〉",https://kotobank.jp/word/%E6%9B%B8%E7%B1%8D-534625
0,本 - Wikipedia,"本（ほん）は、書籍（しょせき）または書物（しょもつ）とも呼ばれ、木、竹、絹布、紙等の
軟質な素材に、文字、記号、図画等を筆写、印刷し、糸、糊等で装丁・製本したもの(銭存
訓(1990))。狭義では、複数枚の紙が一方の端を綴じられた状態になっているもの。",https://ja.wikipedia.org/wiki/%E6%9C%AC
0,電子書籍トップ・話題の本 - 紀伊國屋書店ウェブストア,"ウェブストアでは本や雑誌や電子書籍を1000万件以上の商品データベースから探して
購入でき、2500円以上のお買い上げで送料無料となります。店舗受取サービスも利用
できます。 ... 電子書籍Kinoppyダウンロード · ホーム; > 電子書籍; > 電子書籍トップ・ ...",https://www.kinokuniya.co.jp/disp/CSfDispListPageTop.jsp?dispNo=104002003001050
1,東京書籍,"1909(明治42)年創業。「教育と文化を通じて人づくり」を企業理念とし，新しい時代に
挑戦する個性的，創造的な人材の育成を目指す。小・中・高等学校の教科書発行部数で
業界首位。学習教材・指導用教材，学習参考書を発行。デジタル教科書など教育用 ...",https://www.tokyo-shoseki.co.jp/
1,本・書籍：ブックオフオンライン,"ライトノベルを愛する担当者が、自信を持っておすすめする作品をご紹介！今が「
お買い得」の商品も豊富にラインナップしています。 実用書. 家庭・子育て・ファッション・
ダイエット. 料理・食生活. 人生論・生き方・結婚. 1位. 人生がときめく片づけの魔法.",http://www.bookoffonline.co.jp/book/CSfTop.jsp?bg=12
1,書籍 | アルファポリス - 電網浮遊都市 -,"小説・漫画の投稿サイト「アルファポリス」は、誰でも自由に作品を読めて、書くことが
できる総合エンターテインメントサイトです。毎日無料で読める公式漫画も充実してい
ます。ブログ、ビジネス、ゲームなど、さまざまなコンテンツをお楽しみください！",https://www.alphapolis.co.jp/book
1,書籍 - TOWER RECORDS ONLINE,"〈抽選プレゼント付き〉クリープハイプ・尾崎世界観、雑誌「ダ・ヴィンチ」の連載に
書き下ろしを加えた最新刊『泣きたくなるほど嬉しい日々に』7月26日発売. （2019/07/22
） · 〈タワレコ特典付き〉三代目J SOUL BROTHERS・岩田剛典、30歳を記念した3rd
写真集8 ...",https://tower.jp/genre/Domestic-Books/
1,読者様限定 書籍連動ダウンロードサービス | 資格本のTAC出版書籍通販 ...,"スッキリわかるシリーズ スッキリわかる 建設業経理事務士3級. 「テキスト編」の重要
論点や受験生が苦手な論点について わかりやすく解説したWEB講義（6時間）をご視聴
いただけます。 パスワード. ダウンロードページを開く. ※書籍に記載されている
パスワード ...",https://bookstore.tac-school.co.jp/download_service/
0,建材(けんざい)とは - コトバンク,"ブリタニカ国際大百科事典 小項目事典 - 建材の用語解説 - 建築物を構成する材料の
総称。略して建材ともいう。通常，建築材料というときは，セメント，砂利，ガラス，煉瓦，
壁紙のように建築施工の場に提供される材料を指しており，それらの原料となる石灰岩
， ...",https://kotobank.jp/word/%E5%BB%BA%E6%9D%90-60493
0,建材・エクステリア 【通販モノタロウ】,"建材・エクステリアなどがお買得価格で購入できるモノタロウは取扱商品1800万点、
3500円以上のご注文で送料無料になる通販サイトです。",https://www.monotaro.com/s/c-84178/
0,建築材料 - Wikipedia,"建築材料（けんちくざいりょう、英: building material）とは、建築物を建てるために使用
されるあらゆる材料のことである。建材（けんざい）とも。 目次. 1 概説; 2 分類. 2.1 機能
による分類; 2.2 部位による分類; 2.3 素材による分類. 3 歴史; 4 原材料・用途. 4.1 内装
 ...",https://ja.wikipedia.org/wiki/%E5%BB%BA%E7%AF%89%E6%9D%90%E6%96%99
1,ジャパン建材株式会社 | 総合建材卸売の専門商社,"総合建材商社のジャパン建材株式会社は住まいづくりのパートナーとして、快適で豊か
な住環境の創造を目指していきます。",http://www.jkenzai.co.jp/
0,【価格.com】住宅建材 | 通販・価格比較・製品情報,"住宅建材の通販サイトを探すなら、まずは価格.comをチェック！全国のネット通販
ショップをまとめて検索。お目当ての商品が簡単に探せます。",https://kakaku.com/housing/ss_0049_0009/
0,建材ナビ,"建材ナビはお客様と業者間を結ぶ建築・建材専門の検索サイトです。800社を超える
メーカーの製品を200以上のカテゴリーに分類し比較検討できます。資料請求にも対応
しています。",https://www.kenzai-navi.com/
0,建材(けんざい)とは - 建材の読み方 Weblio辞書,"「建材」の意味は建築用の材料のこと。Weblio辞書では「建材」の意味や使い方、用例、
類似表現などを解説しています。",https://www.weblio.jp/content/%E5%BB%BA%E6%9D%90
1,建材ダイジェスト｜建材専門ウェブメディア,"建材ダイジェストは、建材専門ウェブメディアです。建材（けんざい）とは建築材料のこと。
プロユーザーである設計士・工務店・ハウスメーカー担当者に加え、一般ユーザーにも
わかりやすいコンテンツを発信しています。最新リノベ・リフォーム向け建材・一級建築士
 ...",https://kenzai-digest.com/
0,2019 建材総合1 インテリア建材 ベリティス （価格改定版） | WEBカタログ ...,"2019 建材総合1 インテリア建材 ベリティス （価格改定版）. 総ページ数：1092. PDF. 
印刷. 関連情報. このページの掲載データ表示. 左ページ; 右ページ. 目次. ページ一覧. [
シリーズID【商品】]検索. ページ番号検索. キーワード検索. しおり一覧. 最近見たページ.",http://esctlg.panasonic.biz/iportal/cv.do?c=4955530000&pg=1&v=PEWJ0001&d=activeOut
1,資料ダウンロードトップ 日鉄建材株式会社,日鉄建材株式会社のホームページ。資料ダウンロード。,https://www.ns-kenzai.co.jp/down.php
0,Category:日本の医薬品メーカー - Wikipedia,"カテゴリ「日本の医薬品メーカー」にあるページ. このカテゴリには 269 ページが含まれ
ており、そのうち以下の 200 ページを表示しています。 (前のページ) (次のページ). *. 
日本の企業一覧 (医薬品). K. KMバイオロジクス. M. Meiji Seika ファルマ. あ.",https://ja.wikipedia.org/wiki/Category:%E6%97%A5%E6%9C%AC%E3%81%AE%E5%8C%BB%E8%96%AC%E5%93%81%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC
0,医薬品業界とは？仕事・業界研究 - リクナビ,"医薬品メーカーは、医薬品の研究開発から効果の確認、販売までを手掛けている。 
医薬品は、大別すると、医師の処方箋が必要で、薬局や病院で処方される「医療用
医薬品」と、処方箋が不要でドラッグストアや薬局などで売られる「一般用医薬品」の2つ
に分け ...",https://job.rikunabi.com/contents/industry/1018/
0,日本の企業一覧 (医薬品) - Wikipedia,"日本の企業一覧(医薬品)（にほんのきぎょういちらん いやくひん）は、「証券コード協議会
」が定める業種区分に基づき「医薬品」とされる日本の企業を示す。このため、医薬品
製造メーカーの他に診断薬製造などが主な事業の企業も含まれる。 非上場会社でも ...",https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E4%BC%81%E6%A5%AD%E4%B8%80%E8%A6%A7_(%E5%8C%BB%E8%96%AC%E5%93%81)
